name;date;training_time_(min);nb_epoch;max_attempts;min_confidence_score;beta1;beta2;alpha;cost_loss;accuracy;confidence_score;learning_rate_CNN;kernel_size;kernel_number;activation_function_CNN;learning_rate_DNN;neurons_number;activation_function_DNN;Size_dataset;Size_training_set;Size_test_set;Ratio_train/test;Size_validation_set;Validation_frequency;Based_model;Number_fine_tunning
DM(0,92000)(0,88782)(15-10-2025).pickle;15/10/2025;42.12710614601771;10.0;1;0;0.9;0.999;0.001;0.2036326414536952;0.92;0.8878171390252148;0.001;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;1000;720;80;0.1;50.0;100;X;0.0
DM(0,95667)(0,93466)(15-10-2025).pickle;15/10/2025;331.1848862449328;11.0;1;0;0.9;0.999;0.001;0.1379249389115167;0.9566666666666668;0.9346611457260956;0.001;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;66000;43200;4800;0.1;500.0;100;DM(0,92000)(0,88782)(15-10-2025).pickle;1.0
DM(0,05000)(0,09993)(17-10-2025).pickle;17/10/2025;10.122416007518767;10.0;1;0;0.9;0.999;0.001;2.304537540715582;0.05;0.0999270414087452;0.1;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;500;360;40;0.1;40.0;100;X;0.0
DM(0,87500)(0,85945)(17-10-2025).pickle;17/10/2025;10.093485903739928;10.0;1;0;0.9;0.999;0.001;0.2347852964018815;0.875;0.8594489207397127;0.01;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;500;360;40;0.1;40.0;100;X;0.0
DM(0,72500)(0,29933)(17-10-2025).pickle;17/10/2025;6.248224504788717;3.0;1;0;0.9;0.999;0.001;1.3787785879029444;0.725;0.2993341550211674;0.001;5,3,3;32,64,64;tanh,tanh,tanh;0.001;124,64,64,10;tanh,tanh,tanh,relu;500;360;40;0.1;40.0;100;X;0.0
DM(0,55000)(0,20262)(17-10-2025).pickle;17/10/2025;5.985248100757599;3.0;1;0;0.9;0.999;0.001;1.737854259420662;0.55;0.2026175233801936;0.001;5,3,3;32,64,64;tanh,tanh,tanh;0.001;124,64,64,10;tanh,tanh,tanh,relu;500;360;40;0.1;40.0;100;X;0.0
DM(0,65000)(0,23677)(17-10-2025).pickle;17/10/2025;5.949537889162699;3.0;1;0;0.9;0.999;0.001;1.5871091415238272;0.65;0.2367691007431998;0.001;5,3,3;32,64,64;tanh,tanh,tanh;0.001;124,64,64,10;tanh,tanh,tanh,relu;500;360;40;0.1;40.0;100;X;0.0
DM(0,66000)(0,35580)(17-10-2025).pickle;17/10/2025;4.065329249699911;1.0;1;0;0.9;0.999;0.001;1.352248200630161;0.66;0.3558015405376266;0.001;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;1000;720;80;0.1;50.0;100;X;0.0
DM(0,82000)(0,71934)(17-10-2025).pickle;17/10/2025;16.622659659385683;4.0;1;0;0.9;0.999;0.001;0.5985622702238749;0.82;0.7193396806124006;0.001;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;1000;720;80;0.1;50.0;100;DM(0,66000)(0,35580)(17-10-2025).pickle;1.0
DM(0,97000)(0,96450)(18-10-2025).pickle;18/10/2025;494.6577294508616;14.0;1;0;0.9;0.999;0.001;0.0708215462639847;0.97;0.964504757093432;0.001;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;10000;7200;800;0.1;100.0;100;DM(0,82000)(0,71934)(17-10-2025).pickle;2.0
DM(0,90000)(0,80868)(19-10-2025).pickle;19/10/2025;25.1890544851621;5.0;1;0;0.9;0.999;0.001;0.4585396941483486;0.9;0.8086822188334543;0.001;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;1000;720;80;0.1;80.0;100;X;0.0
DM(0,97400)(0,95049)(20-10-2025).pickle;20/10/2025;153.9320270339648;6.0;1;0;0.9;0.999;0.001;0.11126960288636432;0.974;0.9504898214042934;0.001;5,3,3;32,64,64;relu,relu,relu;0.001;124,64,64,10;relu,relu,relu,relu;66000;43200;4800;0.1;500.0;1000;DM(0,90000)(0,80868)(19-10-2025).pickle;1.0
