name;date;training_time_(min);nb_epoch;max_attempts;min_confidence_score;alpha;cost_loss;accuracy;confidence_score;learning_rate_DNN;neurons_number;activation_function_DNN;Size_training_set;Size_test_set;Ratio_train/test;Size_validation;Validation_frequency;Based_model;Number_fine_tunning
DM(0,25000)(0,32640)(23-11-2025).pickle;23/11/2025;0.000447936852773;20;1;0;0.001;1.1197530550493588;0.25;0.3264020043944248;0.001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;10000;X;0
DM(0,37500)(0,33422)(23-11-2025).pickle;23/11/2025;0.0004265586535135;20;1;0;0.001;1.0976139671064178;0.375;0.3342157123610765;0.001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;10000;X;0
DM(0,37500)(0,33281)(23-11-2025).pickle;23/11/2025;0.0011507590611775;20;1;0;0.001;1.1001782233133803;0.375;0.3328130327003762;0.001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;10000;X;0
DM(0,33333)(0,33129)(23-11-2025).pickle;23/11/2025;0.0039988319079081;20;1;0;0.001;1.1087961771529584;0.3333333333333333;0.3312928745098186;0.001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;1;X;0
DM(0,20833)(0,33056)(23-11-2025).pickle;23/11/2025;0.0040305137634277;20;1;0;0.001;1.1087533612789804;0.2083333333333333;0.3305643855435667;0.001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;1;X;0
DM(0,41667)(0,34188)(23-11-2025).pickle;23/11/2025;0.0050395131111145;20;1;0;0.001;1.0749679745343126;0.4166666666666667;0.3418780372852821;0.001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;1;X;0
DM(0,70833)(0,33408)(23-11-2025).pickle;23/11/2025;0.0147905349731445;100;1;0;0.001;1.0963715575915156;0.7083333333333334;0.3340835515216436;0.001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;1;X;0
DM(0,50000)(0,34816)(23-11-2025).pickle;23/11/2025;1.5545811295509335;10000;1;0;0.001;1.1097514743440764;0.5;0.3481584804543974;0.001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;1;X;0
DM(0,37500)(0,34142)(23-11-2025).pickle;23/11/2025;0.0176515539487202;100;1;0;0.001;1.0827856395936066;0.375;0.3414166347699297;0.0001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;1;X;0
DM(0,25000)(0,33652)(23-11-2025).pickle;23/11/2025;0.3286240935325623;10000;1;0;0.001;1.093570879198059;0.25;0.33651663759408385;0.0001;124,64,64,3;tanh,tanh,tanh,relu;96;24;0.2;24;10;X;0
